transaccion_id,fecha_transaccion,tipo_transaccion,estado,monto_total,metodo_pago,cliente_nombre,cliente_telefono,cliente_localidad,producto_id,producto_nombre,producto_talla,producto_color,producto_temporada,cantidad_comprada,vestido_estilo,vestido_precio_venta,vestido_precio_renta,vestido_en_oferta,vestido_condicion,vestido_rating_promedio,vestido_review_count,fecha_entrega,fecha_devolucion,multa_aplicada,reseña_rating,reseña_comentario,fecha_reseña
687e0e6d2d8655b05b08c3aa,2023-06-17 04:05:39,Venta,Completada,500,transferencia_bancaria,adriana.romero@example.com,1234567817,San Felipe Orizatlán,687c145a555de7433ad30a81,Brillante Rose,S,Rosa Crema,Todo el Año,1,Fiesta,500,,false,Excelente,3.5,3,2023-06-17 13:05:39,,0,5,¡Absolutamente precioso! Recibí muchos cumplidos.,2023-07-06 04:05:39
687e0e6d2d8655b05b08c3af,2023-06-14 03:45:56,Venta,Completada,1321,tarjeta_debito,ana.lopez@example.com,1234567891,Atlapeza,687c1894555de7433ad30a9b,Vestido Corto Rojo con Cola Asimétrica,M,Rojo,Todo el Año,1,De Noche,,300,false,Excelente,4.3,10,2023-06-14 13:45:56,,0,3,"Buena opción por el precio, el servicio fue correcto.",2023-07-17 03:45:56
687e0e6d2d8655b05b08c3b0,2023-09-19 04:34:31,Venta,Completada,2300,tarjeta_debito,maria.gonzalez@example.com,1234567893,Atlapeza,687c0574555de7433ad30a3f,Fantasía Turquesa,M,Turquesa,"Verano, Primavera",1,Fiesta,2300,,false,Nuevo,4.6,10,2023-09-19 22:34:31,,0,1,"La experiencia fue regular, no estoy segura de volver a rentar.",2023-10-28 04:34:31
687e0e6d2d8655b05b08c3b6,2023-06-13 03:29:14,renta,Completada,1318,efectivo,sheldon@gmail.com,5551234567,Platón Sánchez,687e0d4b8639b437a0e4877d,Vestido de Punto Grueso con Cuello Cisne,M,Gris Carbón,Invierno,1,Casual,1400,,false,Nuevo,3.9,8,2023-06-13 23:29:14,2023-06-28 23:29:14,0,5,¡Absolutamente precioso! Recibí muchos cumplidos.,2023-07-18 03:29:14
687e0e6d2d8655b05b08c3ba,2023-06-10 06:33:29,renta,Completada,800,efectivo,maria.gonzalez@example.com,1234567893,Atlapeza,687e0dd08639b437a0e48790,Vestido de Fiesta con Escote Asimétrico,M,Verde Esmeralda,Todo el Año,1,Fiesta,2300,800,false,Nuevo,4.6,10,2023-06-10 14:33:29,2023-06-21 14:33:29,0,5,"Un acierto total, justo lo que buscaba y a un excelente precio.",2023-06-25 06:33:29
687e0e6d2d8655b05b08c3bc,2023-12-10 05:39:40,renta,Completada,875,tarjeta_credito,lucia.torres@example.com,1234567811,Guazalingo,687e0dd08639b437a0e48784,Vestido de Tirantes con Estampado Tropical,S,Verde/Azul/Amarillo,Verano,1,Casual,920,,false,Nuevo,4.3,16,2023-12-10 16:39:40,2023-12-15 16:39:40,0,2,El vestido se veía mejor en las fotos. Necesitaba algunos ajustes.,2024-01-05 05:39:40
687e0e6d2d8655b05b08c3c1,2023-10-01 03:27:34,renta,Completada,1153,transferencia_bancaria,adriana.romero@example.com,1234567817,San Felipe Orizatlán,687c1297555de7433ad30a79,Green Muse,S,Verde,Todo el Año,1,De Noche,2700,,false,Nuevo,4.5,18,2023-10-02 03:27:34,2023-10-07 03:27:34,33,5,"Quedó perfecto para la ocasión, muy contenta con la compra/renta.",2023-10-28 03:27:34
687e0e6d2d8655b05b08c3c2,2023-10-23 11:15:27,Venta,Completada,1700,transferencia_bancaria,lucia.torres@example.com,1234567811,Guazalingo,687e0dd08639b437a0e4879a,Vestido Corto de Terciopelo con Volantes,M,Verde Botella,"Otoño, Invierno",1,Cóctel,1700,600,false,Nuevo,4.6,8,2023-10-24 00:15:27,,0,3,"Buena opción por el precio, el servicio fue correcto.",2023-11-04 11:15:27
687e0e6d2d8655b05b08c3c4,2023-02-16 06:30:16,renta,Completada,390,tarjeta_credito,adriana.romero@example.com,1234567817,San Felipe Orizatlán,687c1819555de7433ad30a97,Vestido Corto Negro Brillante de Fiesta,S,Negro,Todo el Año,1,Fiesta,,390,false,Excelente,4.2,8,2023-02-17 06:30:16,2023-02-25 06:30:16,0,2,El vestido se veía mejor en las fotos. Necesitaba algunos ajustes.,2023-03-24 06:30:16
687e0e6d2d8655b05b08c3c5,2023-05-06 06:00:14,Venta,Completada,1050,tarjeta_debito,maria.gonzalez@example.com,1234567893,Atlapeza,687e0d118639b437a0e48761,Vestido Cruzado Estampado Animal,M,Multicolor,"Otoño, Invierno",1,Casual,1050,,false,Nuevo,3.9,6,2023-05-07 00:00:14,,0,2,Podría mejorar la limpieza/condición del vestido al entregarlo.,2023-06-18 06:00:14
